name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon-offset,icon-offset-units,icon,lon,lat,gx_media_links
Atomo Coffee Inc,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.3415875,47.6083904,
Avesta Fund,VC firm specializing in seed funding for climate tech and sustainability | https://www.avesta.fund/ | List of portfolio companies: https://www.avesta.fund/portfolio,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-104.8813559,39.7517813,
Azavea (pt of Element 84),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-75.1541276,39.961265,
Azolla Ventures,VC firm investing early state in climate tech| https://azollaventures.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-71.1031199,42.3658086,
BeZero Carbon,[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0919908,51.5243907,
Bird (CA),https://climatebase.org/company/305/bird | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.4932084,34.0150917,
Blue Carbon Services Limited,https://climatebase.org/company/16223/blue-carbon-services,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,176.2283703,-40.8672096,
Bodhi,https://climatebase.org/company/38484/bodhi Remote work options: Yes. Sector: Energy/solar,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-97.781276,30.2526825,
BlocPower,Building electrification for consumers and municipalities | https://www.blocpower.io/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9450749,40.6311073,
Bloom Energy (HQ),Clean energy microgrid | https://www.bloomenergy.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-121.9636415,37.4204846,
Boston Government Services (DC),https://climatebase.org/company/29795/boston-government-services,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0243778,38.8836279,
Boston Government Services (TN),https://climatebase.org/company/29795/boston-government-services,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-84.2371822,36.009836,
Boston Government Services (CO),https://climatebase.org/company/29795/boston-government-services,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-105.1612028,39.7413034,
Boston Government Services (OH),https://climatebase.org/company/29795/boston-government-services,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-82.9913673,39.0480503,
Boundary Stone (CA),Climate change government affairs firm |  https://www.boundarystone.com/ | Remote work options: Yes. ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-118.471765,33.987687,
Boundary Stone (DC),hClimate change government affairs firm | https://www.boundarystone.com/ | Remote work options: Yes. ,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0265124,38.8949675,
Bowery Farming (HQ),Vertical farming and digital agriculture | https://bowery.co/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-73.9933396,40.7457811,
Breakthrough Energy (WA),"Climate tech investment, philanthropy, policy and advocacy | https://breakthroughenergy.org/",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2060259,47.6563828,
Breakthrough Energy (CA),"Climate tech investment, philanthropy, policy and advocacy | https://breakthroughenergy.org/ |  3000 Sand Hill Rd, West Menlo Park, CA 94025",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2213122,37.4242651,
BrightAction,Sector: Advocacy or Policy https://climatebase.org/company/8561/brightaction,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.1317948,37.4174463,
Brilliant Planet (London UK),Algae-based CO2 reduction and ocean de-acidification | https://www.brilliantplanet.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-0.0807382,51.5082866,
Brimstone (HQ CA),Carbon-negative cement | https://www.brimstone.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2884346,37.8129823,
Build It Green,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2711931,37.8059013,
C2CNT (Canada),[object Object],#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-114.0702209,51.0444526,
CalWave Power Technologies Inc.,https://climatebase.org/company/32751/calwave-power-technologies-inc,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2881021,37.8189403,
Cambian Carbon (DC),"https://climatebase.org/company/30288/cambium-carbon | Remote work options: Yes | 11 Dupont Cir NW Suite 200, Washington, DC 20036",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0426849,38.9100757,
Capture6 (US),Direct air capture | https://capture6.org/| Remote work options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.2755129,37.8817321,
Canoo (R&D site),Electric vehicles for consumer and commercial | https://www.canoo.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-94.1605839,36.0626579,
Carbon Delta,"Climate Intelligence, Financial and Corporate Risk",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,8.5481586,47.3591427,
Carbon Engineering (pt of Occidental Petroleum),Direct air capture technology | https://carbonengineering.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-123.1170477,49.283644,
Carbon Lighthouse (HQ CA),Enabling commercial real estate owners to add income from OpEx building improvements  | https://www.carbonlighthouse.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4014442,37.7936573,
Carbon13 Limited,Accelerator for climate tech startups | https://carbonthirteen.com/ | Remote Work Options: Yes,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0.135913,52.1942426,
Carbon180 (CA),Policy and advocacy for gigaton-scale carbon removal | https://carbon180.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.272921,37.8028027,
Carbon180 (DC),Policy and advocacy for gigaton-scale carbon removal | https://carbon180.org/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0029163,38.9050362,
Carbonova,Carbon nanofibers from CO2 | https://www.carbonova.com/,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-114.0858225,51.0324101,
CarbonROI,,#icon-1899-0288D1-nodesc,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-105.0704229,39.90722,
Center for Climate and Energy Solutions,https://climatebase.org/company/34552/center-for-climate-and-energy-solutions,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-77.0950606,38.8863297,
Center for Transportation and the Environment,https://climatebase.org/company/17044/the-center-for-transportation-and-the-environment-cte,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-84.385704,33.7745056,
Cervest (US),"Climate intelligence software | https://cervest.earth/ | Remote Work Options; Yes | 595 Pacific Ave 4th floor, San Francisco, CA 94133",#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-122.4048782,37.7969806,
ChargeNet,https://climatebase.org/company/21343/chargenet,#icon-1899-0288D1,1,#0288d1,1,"32,64","pixels,insetPixels",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,-117.1226607,32.7568971,
